# tensixbench raw points -- see docs/plans/tensix-cost-benchmark.md
# arch=blackhole magic=0x7B10CE05 unroll=64 probe_mask=0xFFFFF dvalid_setup=once src_format=undefined src_style=undefined mm_block=8 variants=t1,t2,t3 fidelities=LoFi,HiFi2,HiFi4
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
A,t1,0,loop_overhead,-,1,1,32,64,76
A,t1,0,loop_overhead,-,1,1,64,64,140
A,t1,0,loop_overhead,-,1,1,96,64,204
A,t1,0,loop_overhead,-,1,1,128,64,268
A,t1,1,NOP,NONE,1,1,32,64,2139
A,t1,1,NOP,NONE,1,1,64,64,4235
A,t1,1,NOP,NONE,1,1,96,64,6347
A,t1,1,NOP,NONE,1,1,128,64,8459
A,t1,2,DMANOP,TDMA,1,1,32,64,2138
A,t1,2,DMANOP,TDMA,1,1,64,64,4235
A,t1,2,DMANOP,TDMA,1,1,96,64,6347
A,t1,2,DMANOP,TDMA,1,1,128,64,8459
A,t1,3,SFPNOP,SFPU,1,1,32,64,2138
A,t1,3,SFPNOP,SFPU,1,1,64,64,4235
A,t1,3,SFPNOP,SFPU,1,1,96,64,6347
A,t1,3,SFPNOP,SFPU,1,1,128,64,8459
A,t1,4,SFPMOV,SFPU,1,1,32,64,2137
A,t1,4,SFPMOV,SFPU,1,1,64,64,4235
A,t1,4,SFPMOV,SFPU,1,1,96,64,6347
A,t1,4,SFPMOV,SFPU,1,1,128,64,8459
A,t1,5,SFPADD,SFPU,1,1,32,64,2138
A,t1,5,SFPADD,SFPU,1,1,64,64,4235
A,t1,5,SFPADD,SFPU,1,1,96,64,6347
A,t1,5,SFPADD,SFPU,1,1,128,64,8459
A,t1,6,SFPMUL,SFPU,1,1,32,64,2137
A,t1,6,SFPMUL,SFPU,1,1,64,64,4235
A,t1,6,SFPMUL,SFPU,1,1,96,64,6347
A,t1,6,SFPMUL,SFPU,1,1,128,64,8459
A,t1,7,SFPMAD,SFPU,1,1,32,64,2138
A,t1,7,SFPMAD,SFPU,1,1,64,64,4235
A,t1,7,SFPMAD,SFPU,1,1,96,64,6347
A,t1,7,SFPMAD,SFPU,1,1,128,64,8459
A,t1,8,SFPABS,SFPU,1,1,32,64,2137
A,t1,8,SFPABS,SFPU,1,1,64,64,4235
A,t1,8,SFPABS,SFPU,1,1,96,64,6347
A,t1,8,SFPABS,SFPU,1,1,128,64,8459
A,t1,9,SETDMAREG,THCON,1,1,32,64,2138
A,t1,9,SETDMAREG,THCON,1,1,64,64,4235
A,t1,9,SETDMAREG,THCON,1,1,96,64,6347
A,t1,9,SETDMAREG,THCON,1,1,128,64,8459
A,t1,10,ADDDMAREG,THCON,1,1,32,64,6058
A,t1,10,ADDDMAREG,THCON,1,1,64,64,12221
A,t1,10,ADDDMAREG,THCON,1,1,96,64,18369
A,t1,10,ADDDMAREG,THCON,1,1,128,64,24513
A,t1,11,MULDMAREG,THCON,1,1,32,64,6061
A,t1,11,MULDMAREG,THCON,1,1,64,64,12221
A,t1,11,MULDMAREG,THCON,1,1,96,64,18369
