# nocreadbench arch=wormhole grid=8x8 num_tx=64 repeats=3 mode=stateless sim=0
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
dist,0,20,0,0,1,1,1,18,25,7,64,64,0,0,3086,48.219,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1219,0x5A5A1219,0x5A5A1313
srcfan,0,21,0,0,1,1,1,19,18,1,64,64,0,0,3067,47.922,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1312,0x5A5A1312,0x5A5A1313
srcfan,0,22,0,0,1,1,2,19,18,1,64,64,0,0,3073,48.016,3,2,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1312,0x5A5A1312,0x5A5A1313
srcfan,0,23,0,0,1,1,4,19,18,1,64,64,0,0,3070,47.969,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1312,0x5A5A1312,0x5A5A1313
dstspread,0,24,0,0,1,1,1,25,18,7,64,64,0,0,3072,48.000,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
dstspread,0,25,0,0,1,1,1,25,18,7,64,64,64,0,3068,47.938,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
dstspread,0,26,0,0,1,1,1,25,18,7,64,64,128,0,3070,47.969,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
dstspread,0,27,0,0,1,1,1,25,18,7,64,64,512,0,3072,48.000,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
srcspread,0,28,0,0,1,1,1,25,18,7,64,64,0,0,3074,48.031,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
srcspread,0,29,0,0,1,1,1,25,18,7,64,64,0,64,3068,47.938,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
