# nocreadbench -- 2026-08-09 Blackhole card session, nocread probe.
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `nocread`).
# Retires the initiator credit-limit term: in-flight is 2-3 at every burst
# length, reaches 13 only at one transaction size, and cycles_per_tx is flat
# to 1.5 % across hops 1-13. CMD_BUF_AVAIL reads 0x0 at rest AND in-loop, so
# the command-buffer depth stays UNKNOWN -- do not quote zero as a depth.
#
# Analysis: docs/plans/cost-model.md, "The second rung-3 sample". A silicon
# measurement is `corroboration`, never provenance -- nothing here is charged.
# nocreadbench arch=blackhole grid=12x10 num_tx=64 repeats=3
# every row is one timed burst; cycles_per_tx = cycles / num_tx
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end
dist,2,19,0,0,1,2,1,1,4,2,64,64,0,0,3193,49.891,70,70,64,0x00000000,0x00000000,68,2,2,0,0,0x00000000,0x00000000,0x00000000
dist,2,20,0,0,1,2,1,1,5,3,64,64,0,0,3193,49.891,70,70,64,0x00000000,0x00000000,68,2,2,0,0,0x00000000,0x00000000,0x00000000
dist,2,21,0,0,1,2,1,1,6,4,64,64,0,0,3192,49.875,70,70,64,0x00000000,0x00000000,68,2,2,0,0,0x00000000,0x00000000,0x00000000
dist,2,22,0,0,1,2,1,1,7,5,64,64,0,0,3192,49.875,70,70,64,0x00000000,0x00000000,68,2,2,0,0,0x00000000,0x00000000,0x00000000
dist,2,23,0,0,1,2,1,1,8,6,64,64,0,0,3192,49.875,70,70,64,0x00000000,0x00000000,68,2,2,0,0,0x00000000,0x00000000,0x00000000
dist,2,24,0,0,1,2,1,1,9,7,64,64,0,0,3193,49.891,70,70,64,0x00000000,0x00000000,68,2,2,0,0,0x00000000,0x00000000,0x00000000
dist,2,25,0,0,1,2,1,1,10,8,64,64,0,0,3193,49.891,70,70,64,0x00000000,0x00000000,68,2,2,0,0,0x00000000,0x00000000,0x00000000
dist,2,26,0,0,1,2,1,1,11,9,64,64,0,0,3193,49.891,70,70,64,0x00000000,0x00000000,68,2,2,0,0,0x00000000,0x00000000,0x00000000
srcfan,2,27,0,0,1,2,1,2,2,1,64,64,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
srcfan,2,28,0,0,1,2,2,2,2,1,64,64,0,0,3246,50.719,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
srcfan,2,29,0,0,1,2,4,2,2,1,64,64,0,0,3273,51.141,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
srcfan,2,30,0,0,1,2,8,2,2,1,64,64,0,0,3262,50.969,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dstspread,2,31,0,0,1,2,1,14,2,13,64,64,0,0,3251,50.797,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dstspread,2,32,0,0,1,2,1,14,2,13,64,64,64,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dstspread,2,33,0,0,1,2,1,14,2,13,64,64,128,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dstspread,2,34,0,0,1,2,1,14,2,13,64,64,512,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
srcspread,2,35,0,0,1,2,1,14,2,13,64,64,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
srcspread,2,36,0,0,1,2,1,14,2,13,64,64,0,64,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
srcspread,2,37,0,0,1,2,1,14,2,13,64,64,0,128,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
srcspread,2,38,0,0,1,2,1,14,2,13,64,64,0,512,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
burst,2,39,0,0,1,2,1,14,2,13,4,64,0,0,421,105.250,70,70,4,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
burst,2,40,0,0,1,2,1,14,2,13,16,64,0,0,985,61.562,70,70,16,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
burst,2,41,0,0,1,2,1,14,2,13,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
