# riscvbench -- 2026-08-09 Blackhole card session, rv probe.
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `rv`).
#
# Analysis: docs/plans/cost-model.md, "The second rung-3 sample". A silicon
# measurement is `corroboration`, never provenance -- nothing here is charged.
# riscvbench raw points -- see docs/plans/riscv-front-end-benchmark.md
# arch=blackhole magic=0x7B10CF03 probe_mask=0x7FFFFFFFFFFFF phases=rtcqfsg variants=t1,t2,t3 base_blocks=32 gset=0 group_reps=16 pad=16 stack_addr=0xFFB00FA8 scratch_addr=0x0017D440 div_dividend=0x12345678 div_divisor=3
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
r,t2,1,rv_addi_indep,RV,2,0,96,64,6347
r,t2,1,rv_addi_indep,RV,2,0,128,64,8459
r,t2,2,rv_addi_dep,RV,2,0,32,64,2137
r,t2,2,rv_addi_dep,RV,2,0,64,64,4235
r,t2,2,rv_addi_dep,RV,2,0,96,64,6347
r,t2,2,rv_addi_dep,RV,2,0,128,64,8459
r,t2,3,rv_mul_indep,RV,2,0,32,64,2141
r,t2,3,rv_mul_indep,RV,2,0,64,64,4235
r,t2,3,rv_mul_indep,RV,2,0,96,64,6347
r,t2,3,rv_mul_indep,RV,2,0,128,64,8459
r,t2,4,rv_mul_dep,RV,2,0,32,64,4146
r,t2,4,rv_mul_dep,RV,2,0,64,64,8273
r,t2,4,rv_mul_dep,RV,2,0,96,64,12401
r,t2,4,rv_mul_dep,RV,2,0,128,64,16529
r,t2,5,rv_div,RV,2,0,32,64,67661
r,t2,5,rv_div,RV,2,0,64,64,135309
r,t2,5,rv_div,RV,2,0,96,64,202957
r,t2,5,rv_div,RV,2,0,128,64,270605
r,t2,6,rv_load_chase,RV_LSU,2,0,32,64,16684
r,t2,6,rv_load_chase,RV_LSU,2,0,64,64,33366
r,t2,6,rv_load_chase,RV_LSU,2,0,96,64,50071
r,t2,6,rv_load_chase,RV_LSU,2,0,128,64,66764
r,t2,7,rv_load_indep,RV_LSU,2,0,32,64,3744
r,t2,7,rv_load_indep,RV_LSU,2,0,64,64,7453
r,t2,7,rv_load_indep,RV_LSU,2,0,96,64,11154
r,t2,7,rv_load_indep,RV_LSU,2,0,128,64,14871
r,t2,8,rv_store_spread,RV_LSU,2,0,32,64,13753
r,t2,8,rv_store_spread,RV_LSU,2,0,64,64,22518
r,t2,8,rv_store_spread,RV_LSU,2,0,96,64,33782
r,t2,8,rv_store_spread,RV_LSU,2,0,128,64,49135
r,t2,9,rv_store_coalesce,RV_LSU,2,0,32,64,2139
r,t2,9,rv_store_coalesce,RV_LSU,2,0,64,64,4235
r,t2,9,rv_store_coalesce,RV_LSU,2,0,96,64,6347
r,t2,9,rv_store_coalesce,RV_LSU,2,0,128,64,8459
r,t2,10,rv_load_stack,RV_LSU,2,0,32,64,4145
r,t2,10,rv_load_stack,RV_LSU,2,0,64,64,8273
r,t2,10,rv_load_stack,RV_LSU,2,0,96,64,12401
r,t2,10,rv_load_stack,RV_LSU,2,0,128,64,16529
r,t2,11,rv_store_stack,RV_LSU,2,0,32,64,2143
r,t2,11,rv_store_stack,RV_LSU,2,0,64,64,4235
r,t2,11,rv_store_stack,RV_LSU,2,0,96,64,6347
r,t2,11,rv_store_stack,RV_LSU,2,0,128,64,8459
r,t2,0,loop_overhead,-,2,1,32,64,76
r,t2,0,loop_overhead,-,2,1,64,64,140
r,t2,0,loop_overhead,-,2,1,96,64,204
r,t2,0,loop_overhead,-,2,1,128,64,268
r,t2,1,rv_addi_indep,RV,2,1,32,64,2136
r,t2,1,rv_addi_indep,RV,2,1,64,64,4235
r,t2,1,rv_addi_indep,RV,2,1,96,64,6347
r,t2,1,rv_addi_indep,RV,2,1,128,64,8459
r,t2,2,rv_addi_dep,RV,2,1,32,64,2137
r,t2,2,rv_addi_dep,RV,2,1,64,64,4235
r,t2,2,rv_addi_dep,RV,2,1,96,64,6347
r,t2,2,rv_addi_dep,RV,2,1,128,64,8459
r,t2,3,rv_mul_indep,RV,2,1,32,64,2137
r,t2,3,rv_mul_indep,RV,2,1,64,64,4235
r,t2,3,rv_mul_indep,RV,2,1,96,64,6347
r,t2,3,rv_mul_indep,RV,2,1,128,64,8459
r,t2,4,rv_mul_dep,RV,2,1,32,64,4145
r,t2,4,rv_mul_dep,RV,2,1,64,64,8273
r,t2,4,rv_mul_dep,RV,2,1,96,64,12401
r,t2,4,rv_mul_dep,RV,2,1,128,64,16529
r,t2,5,rv_div,RV,2,1,32,64,67661
r,t2,5,rv_div,RV,2,1,64,64,135309
r,t2,5,rv_div,RV,2,1,96,64,202957
r,t2,5,rv_div,RV,2,1,128,64,270605
r,t2,6,rv_load_chase,RV_LSU,2,1,32,64,16691
r,t2,6,rv_load_chase,RV_LSU,2,1,64,64,33347
r,t2,6,rv_load_chase,RV_LSU,2,1,96,64,50069
r,t2,6,rv_load_chase,RV_LSU,2,1,128,64,66770
r,t2,7,rv_load_indep,RV_LSU,2,1,32,64,3727
r,t2,7,rv_load_indep,RV_LSU,2,1,64,64,7424
r,t2,7,rv_load_indep,RV_LSU,2,1,96,64,11119
r,t2,7,rv_load_indep,RV_LSU,2,1,128,64,14850
r,t2,8,rv_store_spread,RV_LSU,2,1,32,64,11026
r,t2,8,rv_store_spread,RV_LSU,2,1,64,64,22511
r,t2,8,rv_store_spread,RV_LSU,2,1,96,64,33773
r,t2,8,rv_store_spread,RV_LSU,2,1,128,64,49100
r,t2,9,rv_store_coalesce,RV_LSU,2,1,32,64,2139
r,t2,9,rv_store_coalesce,RV_LSU,2,1,64,64,4235
r,t2,9,rv_store_coalesce,RV_LSU,2,1,96,64,6347
r,t2,9,rv_store_coalesce,RV_LSU,2,1,128,64,8459
r,t2,10,rv_load_stack,RV_LSU,2,1,32,64,4145
r,t2,10,rv_load_stack,RV_LSU,2,1,64,64,8273
r,t2,10,rv_load_stack,RV_LSU,2,1,96,64,12401
r,t2,10,rv_load_stack,RV_LSU,2,1,128,64,16529
r,t2,11,rv_store_stack,RV_LSU,2,1,32,64,2137
r,t2,11,rv_store_stack,RV_LSU,2,1,64,64,4235
r,t2,11,rv_store_stack,RV_LSU,2,1,96,64,6347
r,t2,11,rv_store_stack,RV_LSU,2,1,128,64,8459
r,t3,0,loop_overhead,-,3,0,32,64,76
r,t3,0,loop_overhead,-,3,0,64,64,140
r,t3,0,loop_overhead,-,3,0,96,64,204
r,t3,0,loop_overhead,-,3,0,128,64,268
r,t3,1,rv_addi_indep,RV,3,0,32,64,2136
r,t3,1,rv_addi_indep,RV,3,0,64,64,4235
r,t3,1,rv_addi_indep,RV,3,0,96,64,6347
r,t3,1,rv_addi_indep,RV,3,0,128,64,8459
r,t3,2,rv_addi_dep,RV,3,0,32,64,2137
r,t3,2,rv_addi_dep,RV,3,0,64,64,4235
r,t3,2,rv_addi_dep,RV,3,0,96,64,6347
r,t3,2,rv_addi_dep,RV,3,0,128,64,8459
